pos_review_title,pos_review_content,itemnumber,neg_review_content,maker,neg_review_title
Older Dog LOVES this food.,"Our senior dog, Myrtle, stopped eating the quality dry food she loved for years, and we switched to this flavor of soft, Wellness food. Although I usually have to coax her to eat with all sorts of treats (I'll do almost anything at this point), she eats this with no prodding. We are 100% satisfied, and",52027,I will never know whether this is a good food or not because I will not buy any food for my 8 babies because it has Carrageenan in it.  I only buy ones that don't have it.,By Wellness,Has Carrageenan in it
Great Food But Discontinued,My dogs love this food.  I was in contact with EVO and was informed that they have/are discontinued there canned dog foods.  They will continue with the dry.  Of course it is in stores and will be sold until depleted.  I am surching for a differebt brand.  This was a 5 star on Dog Food Advisor.,93926,I've been feeding Evo chicken and turkey canned for a few years. Just received two cases from Chewy (who are a great company to buy from!) and knew right away it was different from previous order; the can lid and then the consistency and colour are different. Checked the ingredients to an older can and,By EVO,Change in ingredient!
Perfect size for a day on the road,As a service dog Zeus spends a lot of time on the road with me. Cans are not convienent for a day trip. Plus this size is perfect when testing out if he is going to eat a flavor or not without dealing with a big case of cans. Overall Blue Buffalo Basics Limited ingredients is a great food for a small,88197,My little dog would not eat it. It was the consistency of pudding. My dog likes wet food but with some small chunks of food. Not a fan of mushy food.,By Blue Buffalo,New item for my dog
Another 5 stars for Merrick!,As usual my boys both clean their bowls enthusiastically! They LOVE this Venison beef formula. I like that the meat chunks are big so I can break them up and get a couple of meals out of one can. There are also fresh veggies that are visible and lots of gravy so it's a great kibble mixer!,94141,There are chunks of meaty stuff covered in gooey gravy. I'd rather my dogs have solid meat than gravy filler.,By Merrick,One time purchase
Fantastic Food - Its Amazing,"I first tried this food on a whim.  My toy poodle is very picky when it comes to eating and normally she will not go anywhere near wet dog food.  But lo and behold, she absolutely loves this food.  I don't know what it is about this food but it is as though this food was made exclusively for her breed",99667,This is my second and I was pleased with everything except the Royal Canin Poodle which I ordered to try with my older dog that has been picky.  this didn't work and since i have STANDARD POODLES it is hard to know what effect this food will accomplish with this size dog.  I look forward to the new order,By Royal Canin,New customer
Mixing things up,"I normally feed her Newman's own Chicken with Brown rice, but mix it up with other Newman's Own flavors.  My dog really loves the Beef and Liver.  The consistency is a bit more loose than the others.  It mixes well with the dry food.",48332,"The dogs will eat this, but they don't like it.  They do like one of the others of Newman's Own.",By Newman's Own Organics,My dogs don't like the beef and liver of Newman's Own.
She likes it,"Sophie is on dry food and often does not eat much because she does not feel well.  I have found that if I mix about 1/6 can of the Pedigree in with her dry food, she tends to eat better.",114354,SAD BUT RIGHT NOW DOGGIES CAN NOT EAT IT-THEY CAN ONLY EAT DRY FOOD FROM THE VET WOULD RATHER FEED MY DOGS CHICKEN AND TURKEY,By Pedigree,DOGGIES LIKE IT
Both dogs enjoy this,"I add a little warm water to it to get some gravy since it doesn't have any. We also mix it with some dry kibble. They ate it right up. My one dog has bad allergies, both seasonal and chicken, turkey, beef, fish, sweet potatoes and the list goes on so I thought this would be good for her. Still new to",63840,"really bad stuff, just a mush in the can.  my dogs wouldn't touch it and they eat just about everything..",By Halo,dogs said no!
So glad I tried this!,"I have a beagle that will eat ANYTHING and a chi mix that is maddeningly picky. She sniffs the bowls and walks away while the beagle is eating like I never feed her. I mix a small amount with kibble with the beagle, and the Chi mix can't wait til I put her food down now. It's on the expensive side, but",47333,The reason for the 3 stars is because of the price. It is expensive but you do get real chicken. Also for the 3 stars is because of the fat/liquid that is on the top of the chicken. Not sure what it is and does have a strange odor but my dogs both love the food. I use it as a topper and my Australian,By Evanger's,Real chicken
nice breakfast for my min. poodle,"My dog's favorite brand , in a breakfast flavor.  nice amount in container-1 per meal works great.",47094,"I thought my dog would flip over such flavors as described. However, she doesn't seem impressed and doesn't always finish it.",By Cesar,My dog is not impressed.
Quality food & quality service,"I've been an auto customer for two years and love it. Fast, dependable service and always a great selection of food and supplies. My fur kids are happy!",49213,"We have given our dogs Wellness before, but this Lamb & Sweet Potato is different.  The food had a fishy smell and I had to coax the dogs to eat it.  My dogs like the brand, but not this particular flavor.",By Wellness,Fishy smell
Sunny likes this much better!,"Have fed Sunny Nutro Lamb and Rice premium loaf canned food for years.  When I saw the lamb and vegetables premium loaf, thought we would try it.  He absolutely loves it and it doesn't have the stinky smell that the lamb and rice has.  Happy dog!",86741,I trusted the labeling on the case of Nutro LAMB & VEGETABLES to be what it said without reading the exact list of ingredients.  When the case arrived it mainly consisted of rice and oatmeal.  I never wanted any grains for my dogs since wild canines don't eat grains.  More irritating it has the texture,By Nutro,Don't be fooled.
